"Index","ID","Query","SmilesRan","Error","Exp_-Log10(mol/L)","Pred_Hierarchical clustering_-Log10(mol/L)","Pred_Single model_-Log10(mol/L)","Pred_Group contribution_-Log10(mol/L)","Pred_Nearest neighbor_-Log10(mol/L)","Pred_Consensus_-Log10(mol/L)"
"92","C_CSSLOCPSDAMIML-IUVQFDFLSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)N)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","O=C(O)CCC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"93","C_UIBNBIYGQJPKAS-DHYMJBHJSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)N)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","O=C1OCC2NC(=O)C3N(C(=O)C(NC(=O)C4NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C5N(C(=O)C(N)C(C)C)CCC5)CC6=CNC=7C=CC=CC76)C(OC(=O)CC(NC2=O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC4)CC1)CC(C)C)C)CC8=CC=C(O)C=C8)CC=9C=CC=CC9)CCC3","","N/A","N/A","N/A","N/A","4.31","N/A"
"94","C_LUFQICSUKUWVRP-MNARVTDESA-N","O=C(N[C@@H](CCC1=CC=CC=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(NC([C@@H](CC)C)C(N[C@H]3CCC4=CC=C(O)C(Cl)=C4)=O)=O)=O)CN(C)C3=O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)CC(=O)NC(C(=O)NCCCC1)CCC=2C=CC=CC2)CCC3=CC=C(O)C(Cl)=C3)C(C)CC)CC=4C=CC=CC4","","N/A","5.50","5.69","N/A","4.11","5.10"
"95","C_AKTQIVLQGNQCFP-BEJGRMFCSA-N","O=C(N[C@@H](CCC1=CC=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(N[C@@H](C(C)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)CC(=O)NC(C(=O)NCCCC1)CCC2=CC=C(O)C=C2)CCC3=CC=C(O)C=C3)C(C)C)CC=4C=CC=CC4","","N/A","4.90","5.29","N/A","4.11","4.77"
"96","C_UXQIEZUCKOUNCO-ADGXWODGSA-N","O=C(N[C@@H](CCC1=CC(Cl)=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(NC([C@@H](CC)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)CC(=O)NC(C(=O)NCCCC1)CCC2=CC=C(O)C(Cl)=C2)CCC3=CC=C(O)C=C3)C(C)CC)CC=4C=CC=CC4","","N/A","5.65","5.83","N/A","4.11","5.20"
"97","C_WOIGHBADSHJGAI-JVCFYIMBSA-N","O=C(N[C@@H](CCC1=CC(Cl)=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(N[C@H](C(C)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)CC(=O)NC(C(=O)NCCCC1)CCC2=CC=C(O)C(Cl)=C2)CCC3=CC=C(O)C=C3)C(C)C)CC=4C=CC=CC4","","N/A","5.50","5.66","N/A","4.11","5.09"
"98","C_VAAMNJLBXPQYCU-PXNRAKBUSA-N","CC(N[C@@H]([C@H](C)CC)C(N[C@H]1COC([C@@H]2CCCN2C([C@@H](NC([C@@H](NC(CNC([C@H](NC(CC([C@@H](NC([C@@H]3C[C@@H](CN3C1=O)C)=O)CC(C)C)=O)=O)CC(C)C)=O)=O)CC(N)=O)=O)CC4=CC=C(C=C4)O)=O)=O)=O)=O","O=C(N)CC1NC(=O)CNC(=O)C(NC(=O)CC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C)C(C)CC)COC(=O)C3N(C(=O)C(NC1=O)CC4=CC=C(O)C=C4)CCC3)CC(C)C2)CC(C)C)CC(C)C","","N/A","4.28","4.19","N/A","4.11","4.19"
"99","C_WHFXVNGDVHVYFT-UHFFFAOYSA-N","O=C(NC(CCCCNC(C(CCC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)CC)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CCC=2C=CC=CC2)C)CCC=3C=CC=CC3)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","4.55","5.13","N/A","4.29","4.66"
"100","C_HTIYBOWAXIGUGD-UHFFFAOYSA-N","O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)NC2=O)=O)=O)C(NC(C(C)CC)C(NC2CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)C)CCC=3C=CC=CC3)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","4.42","4.87","N/A","4.29","4.53"
"101","C_DPIGYJZDLCREAR-UHFFFAOYSA-N","O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)CC)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(C)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)C)CCC=3C=CC=CC3)C(C)CC)NC(C(=O)O)C(C)C","","N/A","4.28","4.81","N/A","4.29","4.46"
"102","C_KGFUYDMPOJTFDW-UHFFFAOYSA-N","O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)C)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)C)CCC=3C=CC=CC3)C(C)C)NC(C(=O)O)C(C)CC","","N/A","4.29","4.81","N/A","4.29","4.46"
"103","C_WVQVWUCJRVUECI-DKTDNSISSA-N","O=C(NC(C(N[C@H](C(NC(CCCNC(N)=N)C=O)=O)[C@@H](C)CC)=O)CCC1=CC=CC=C1)C(CC2=CC=C(C=C2)O)O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC=2C=CC=CC2)C(C)CC)CCCNC(=N)N","","N/A","4.65","4.65","N/A","4.29","4.53"
"104","C_QACTZPSCGSGUNG-GYWLOTNVSA-N","O=C(N[C@@H](C(N[C@H](C(NC(CCCNC(N)=N)C=O)=O)[C@@H](C)CC)=O)CCC1=CC=C(C=C1)O)C(CC2=CC=C(C=C2)O)O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2)C(C)CC)CCCNC(=N)N","","N/A","4.77","4.77","N/A","4.29","4.61"
"105","C_CFKHCDRISBRUFQ-COKUGGSTSA-N","O=C(C(O)CC1=CC=C(O)C=C1)NC(CCC2=CC=CC=C2)C(N[C@@H](CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC=2C=CC=CC2)CC(C)C)CCCNC(=N)N","","N/A","4.63","4.63","N/A","4.29","4.52"
"106","C_ZCYAPDWORPSULN-WSXXUSQGSA-N","O=C(C(O)CC1=CC=C(O)C=C1)NC(CCC2=CC=CC=C2)C(N[C@@H](C(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC=2C=CC=CC2)C(C)C)CCCNC(=N)N","","N/A","4.48","4.48","N/A","4.29","4.42"
"107","C_NGBBDYSACOVTOR-UOIHDSSCSA-N","O=C(C(O)CC1=CC=C(O)C=C1)N[C@H](CCC2=CC=C(O)C=C2)C(N[C@@H](CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2)CC(C)C)CCCNC(=N)N","","N/A","4.76","4.76","N/A","4.29","4.61"
"108","C_ZSCHPQBYWNYITD-RWLGUYTISA-N","O=C(C(O)CC1=CC=C(O)C=C1)N[C@H](CCC2=CC=C(O)C=C2)C(N[C@@H](C(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O","O=CC(NC(=O)C(NC(=O)C(NC(=O)C(O)CC1=CC=C(O)C=C1)CCC2=CC=C(O)C=C2)C(C)C)CCCNC(=N)N","","N/A","4.60","4.60","N/A","4.29","4.50"
"109","C_YLSOIPHOXMRWGW-UHFFFAOYSA-N","O=C(C(C(C)CC)NC(C(CCCCN1)NC(NC(C(O)=O)C(CC)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2","O=C(NC1C(=O)NC(C(=O)NC(C(=O)NCCCC1)CCC=2C=CC=CC2)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","3.54","4.44","4.21","4.29","4.12"
"110","C_QTCHCQNUOWJCTH-UHFFFAOYSA-N","O=C(C(C(C)CC)NC(C(CCCCN1)NC(NC(C(O)=O)C(C)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2","O=C(NC1C(=O)NC(C(=O)NC(C(=O)NCCCC1)CCC=2C=CC=CC2)C(C)CC)NC(C(=O)O)C(C)C","","N/A","3.43","4.27","4.11","4.29","4.02"
"111","C_KSERJDNPRNPELX-UHFFFAOYSA-N","O=C(C(C(C)C)NC(C(CCCCN1)NC(NC(C(O)=O)C(CC)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2","O=C(NC1C(=O)NC(C(=O)NC(C(=O)NCCCC1)CCC=2C=CC=CC2)C(C)C)NC(C(=O)O)C(C)CC","","N/A","3.45","4.28","4.11","4.29","4.03"
"112","C_OYHPNVXZUBWKJE-NDJHOONXSA-N","CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=CC=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C","O=C(N)CCC1NC(=O)CNC(=O)C(N=CC(NC(=O)C2N(C(=O)C(NC(=O)C(NC1=O)C(C)CC)CO)CC(C)C2)CC=3C=CC=CC3)CC4=CC=C(O)C=C4","","N/A","4.67","5.38","N/A","4.11","4.72"
"113","C_IFBHVTFUCLENGH-VHTRSIFJSA-N","CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=C(C)C=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C","O=C(N)CCC1NC(=O)CNC(=O)C(N=CC(NC(=O)C2N(C(=O)C(NC(=O)C(NC1=O)C(C)CC)CO)CC(C)C2)CC3=CC=C(C=C3)C)CC4=CC=C(O)C=C4","","N/A","4.82","5.63","N/A","4.11","4.86"
"114","C_TZHROWIOAVYSMP-DOPKCXIESA-N","CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC(C)C)/C([H])=N/[C@@H](CC3=CC=C(O)C=C3)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C","[H]C1=NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CC(C)CC2C(=O)NC1CC(C)C)CO)C(C)CC)CCC(=O)N)CC3=CC=C(O)C=C3","","N/A","4.41","5.15","N/A","4.11","4.55"
"115","C_XHBISUXCZPXBOS-CZHVHIQZSA-N","CC(N[C@H](C(N1CCC[C@H]1C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC2=O)C(N[C@@H](CC3=CNC4=C3C=CC=C4)C(N[C@@H](CCC(OC[C@@H]2NC5=O)=O)C(N[C@H](C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC7=CC=C(O)C=C7)C(N8CCC[C@H]85)=O)=O)NC9=O)=O)=O)=O)=O)=O)C(N[C@H]9CC(C)C)=O)=O)CCC(N)=O)=O)=O)CC%10=CC=C(O)C=C%10)=O","O=C(O)C(NC(=O)C1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C(NC(=O)C4N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C5N(C(=O)C(NC(=O)C)CC6=CC=C(O)C=C6)CCC5)CCC(=O)N)C(OC(=O)C3)C)CC(C)C)CCCCNC(=O)CC1)CC7=CC=C(O)C=C7)CCC4)COC(=O)CC2)CC8=CNC=9C=CC=CC98)CC%10=CC=C(O)C=C%10","","N/A","N/A","N/A","N/A","4.31","N/A"
"116","C_UGNBQCBVWHMOCX-PIDJHHABSA-N","CC(N[C@H](C(N1CCC[C@H]1C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC2=O)C(N[C@@H](CC3=CNC4=C3C=CC=C4)C(N[C@@H](CCC(OC)=O)C(N[C@H](C(N[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC6=CC=C(O)C=C6)C(N7CCC[C@H]7C(N[C@H]2CO)=O)=O)=O)NC8=O)=O)=O)=O)=O)=O)C(N[C@H]8CC(C)C)=O)=O)CCC(N)=O)=O)=O)CC9=CC=C(O)C=C9)=O","O=C(O)C(NC(=O)C1NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)C(NC(=O)C3N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C4N(C(=O)C(NC(=O)C)CC5=CC=C(O)C=C5)CCC4)CCC(=O)N)C(OC(=O)C2)C)CC(C)C)CCCCNC(=O)CC1)CC6=CC=C(O)C=C6)CCC3)CO)CC7=CNC=8C=CC=CC87)CCC(=O)OC)CC9=CC=C(O)C=C9","","N/A","N/A","N/A","N/A","4.31","N/A"
"117","C_KKMAWFNZQASNQS-QZQHOODISA-N","C[C@@H](CC)[C@H]1C(OC2C(C(NC(C(NC3CCC([N@](C3=O)[C@@H](C(N([C@H](C(N1)=O)CC4=CC=C(C=C4)O)C)=O)[C@H](CC)C)O)=O)CC(C)C)=O)N(C([C@H](CCC(N)=O)NC(CCC)=O)=O)CC2C)=O","O=C(N)CCC(NC(=O)CCC)C(=O)N1CC(C)C2OC(=O)C(NC(=O)C(N(C(=O)C(N3C(=O)C(NC(=O)C(NC(=O)C12)CC(C)C)CCC3O)C(C)CC)C)CC4=CC=C(O)C=C4)C(C)CC","","N/A","4.74","5.25","N/A","4.28","4.76"
"118","C_QMXYZAMGCKYKHQ-FTVIHGQDSA-N","C[C@@H](CC)[C@H]1C(OC2C(C(NC(C(NC3CCC([N@](C3=O)[C@@H](C(N([C@H](C(N1)=O)CC4=CC=C(C=C4)O)C)=O)[C@H](CC)C)O)=O)CC(C)C)=O)N(C([C@H](CCC(N)=O)NC(C)=O)=O)CC2C)=O","O=C(N)CCC(NC(=O)C)C(=O)N1CC(C)C2OC(=O)C(NC(=O)C(N(C(=O)C(N3C(=O)C(NC(=O)C(NC(=O)C12)CC(C)C)CCC3O)C(C)CC)C)CC4=CC=C(O)C=C4)C(C)CC","","N/A","4.39","4.74","N/A","4.28","4.47"
"119","C_COYVFWSNQRUPIO-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(OCC1NC(=O)C(N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)NC(C(=O)O)C(C)CC)CCCCNC1=O)CCSC)CCC=2C=CC=CC2)C)CCC=3C=CC=CC3)C","","N/A","4.54","4.76","N/A","4.11","4.47"
"120","C_OJSBBUXEMSSZOX-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCS(C)=O)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(OCC1NC(=O)C(N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)NC(C(=O)O)C(C)CC)CCCCNC1=O)CCS(=O)C)CCC=2C=CC=CC2)C)CCC=3C=CC=CC3)C","","N/A","4.02","4.33","N/A","4.11","4.15"
"121","C_SUNCFXQAEXZGHO-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=CC=C1)C(NC(CO)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CO)CCC=2C=CC=CC2)CCC=3C=CC=CC3)CCSC)C(C)CC","","N/A","4.30","4.19","N/A","4.29","4.26"
"122","C_XVMDQBMZIUJUKI-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=CC=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CCSC)CCC=2C=CC=CC2)CCC=3C=CC=CC3)CCSC)C(C)CC","","N/A","4.69","4.61","N/A","4.28","4.52"
"123","C_XTDLZZLFKOTTLJ-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(OCC1NC(=O)C(N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)NC(C(=O)O)C(C)CC)CCCCNC1=O)CCSC)CCC=2C=CC=CC2)C)CCC3=CC=C(O)C=C3)C","","N/A","4.69","4.90","N/A","4.11","4.57"
"124","C_LTVNLDSXISIYIL-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(C(CC)C)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)COC(=O)C)CCC2=CC=C(O)C=C2)CCC=3C=CC=CC3)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","4.78","5.45","N/A","4.11","4.78"
"125","C_HPWAFILCPDHQOK-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CO)C2=O)=O)C)C(NC(C(CCS(C)=O)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CO)CCC2=CC=C(O)C=C2)CCC=3C=CC=CC3)CCS(=O)C)NC(C(=O)O)C(C)CC","","N/A","3.94","3.91","N/A","4.11","3.99"
"126","C_UVYPXLQJIYVPPA-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CCSC)CCC2=CC=C(O)C=C2)CCC=3C=CC=CC3)CCSC)C(C)CC","","N/A","4.84","4.75","N/A","4.28","4.62"
"127","C_YNLGZOMVPIVMEJ-UHFFFAOYSA-N","O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(C(CC)C)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CCSC)CCC2=CC=C(O)C=C2)CCC=3C=CC=CC3)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","5.11","5.29","N/A","4.28","4.90"
"128","C_YCFHEUGHSRSOFR-LTNJPURBSA-N","C/C=C1C(N[C@@H](C(O)=O)[C@H](C)C(N[C@@H](CCCC/N=C(N)\N)C(N[C@@H](/C=C/C(C)=C/[C@@H]([C@@H](OC)CC2=CC=CC=C2)C)[C@H](C)C(N[C@@H](C(O)=O)CCC(N/1C)=O)=O)=O)=O)=O","O=C(O)C1NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC(=O)C(NC(=O)C(C)C(NC(=O)C(=CC)N(C(=O)CC1)C)C(=O)O)CCCCN=C(N)N","","N/A","3.62","5.30","N/A","4.11","4.34"
"129","C_WZVRXEOKWMIDDV-APHGSVRASA-N","OC1=CC=C(CC(O)C(N[C@H]([C@H](C)CC)C(N2C(C(NCCCCNC(N)=N)=O)CC3C2CC(OS(=O)(O)=O)CC3)=O)=O)C=C1","O=C(NCCCCNC(=N)N)C1N(C(=O)C(NC(=O)C(O)CC2=CC=C(O)C=C2)C(C)CC)C3CC(OS(=O)(=O)O)CCC3C1","","N/A","N/A","N/A","N/A","4.11","N/A"
"130","C_JDIQMZJCZUMKHX-VYYLBCPOSA-N","OC1=CC=C(C[C@@H](O)C(N[C@H]([C@@H](C)CC)C(N2[C@H](C(NCCCCNC(N)=N)=O)C[C@H]3[C@@H]2C[C@H](OS(=O)(O)=O)CC3)=O)=O)C=C1Br","O=C(NCCCCNC(=N)N)C1N(C(=O)C(NC(=O)C(O)CC2=CC=C(O)C(Br)=C2)C(C)CC)C3CC(OS(=O)(=O)O)CCC3C1","","N/A","N/A","N/A","N/A","4.11","N/A"
"131","C_ZRJNSRDWYFDFAT-HASRRMFUSA-N","OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(N[C@@H](CCCNC(N)=N)CO)=O)C[C@@]3([H])[C@]2([H])C[C@H](O)CC3)=O)CC(C)C)=O)C=C1","[H]C12N(C(=O)C(NC(=O)C(O)CC3=CC=C(O)C=C3)CC(C)C)C(C(=O)NC(CO)CCCNC(=N)N)CC2([H])CCC(O)C1","","N/A","3.65","3.75","N/A","4.28","3.89"
"132","C_FEBDAAYWFMTVBF-XDUBPDLBSA-N","OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(N)=O)C[C@H]3[C@@H]2C[C@H](O)CC3)=O)CC(C)C)=O)C=C1","O=C(N)C1N(C(=O)C(NC(=O)C(O)CC2=CC=C(O)C=C2)CC(C)C)C3CC(O)CCC3C1","","N/A","3.50","4.41","3.66","4.76","4.08"
"133","C_LNRXFFGKAKWQCV-DJKRDFIDSA-N","OC1=C(Cl)C=C(CC(O)C(N[C@H]([C@H](C)CC)C(N2C(C(NCCCCNC(N)=N)=O)CC3C2CC(OS(=O)(O)=O)CC3)=O)=O)C=C1","O=C(NCCCCNC(=N)N)C1N(C(=O)C(NC(=O)C(O)CC2=CC=C(O)C(Cl)=C2)C(C)CC)C3CC(OS(=O)(=O)O)CCC3C1","","N/A","N/A","N/A","N/A","4.11","N/A"
"134","C_PUNPCZIPNYKTCV-TYHNBFPCSA-N","OC([C@@H](NC([C@H](NC(CCC)=O)CC(C)C)=O)CCC(N[C@@H]1C(N[C@H](C(N[C@@H](CC[C@H]2O)C(N2[C@H](C(N([C@H](C(N[C@H](C(O[C@H]1C)=O)[C@H](C)CC)=O)CC3=CC=CC=C3)C)=O)C(C)C)=O)=O)CC(C=C4)=CC=C4O)=O)=O)=O","O=C(O)C(NC(=O)C(NC(=O)CCC)CC(C)C)CCC(=O)NC1C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC(C(=O)OC1C)C(C)CC)CC=3C=CC=CC3)C(C)C)CC4=CC=C(O)C=C4","","N/A","4.57","5.08","N/A","4.11","4.58"
"135","C_LLRIWFOSYFXMLM-KBALIGIFSA-N","O=C(CCC)N[C@H](C(N[C@H](C(OC)=O)CCC(N[C@@H]1C(N[C@H](C(N[C@@H](CC[C@H]2O)C(N2[C@@H](C(N([C@H](C(N[C@H](C(O[C@H]1C)=O)[C@H](CC)C)=O)CC3=CC=CC=C3)C)=O)C(C)C)=O)=O)CC4=CC=C(O)C=C4)=O)=O)=O)CC5=CC=C(O)C=C5","O=C(OC)C(NC(=O)C(NC(=O)CCC)CC1=CC=C(O)C=C1)CCC(=O)NC2C(=O)NC(C(=O)NC3C(=O)N(C(O)CC3)C(C(=O)N(C)C(C(=O)NC(C(=O)OC2C)C(C)CC)CC=4C=CC=CC4)C(C)C)CC5=CC=C(O)C=C5","","N/A","5.57","5.97","N/A","4.11","5.21"
"136","C_GIQUSRUOIKSAJD-HFWDDYMOSA-N","O[C@@H](C(N[C@H](CC1=CC=C(O)C=C1)C(N2C(C(N[C@@H]3C(O)N(C(N)=N)CCC3)=O)CC4C2CC(O)CC4)=O)=O)CC5=CC=C(OS(=O)(O)=O)C=C5","O=C(NC(C(=O)N1C(C(=O)NC2CCCN(C(=N)N)C2O)CC3CCC(O)CC13)CC4=CC=C(O)C=C4)C(O)CC5=CC=C(OS(=O)(=O)O)C=C5","","N/A","N/A","N/A","N/A","4.76","N/A"
