"","Strain","max","min","mean","median","count"
"35","CBT158",0.859693877551021,0.162533215234721,0.404861081887561,0.192356152876943,3
"36","CCNP1423",0.856605351170568,0.845670995670996,0.851138173420782,0.851138173420782,2
"37","CCNP1424",0.856605351170568,0.845670995670996,0.851138173420782,0.851138173420782,2
"38","CCNP1425",0.856605351170568,0.845670995670996,0.851138173420782,0.851138173420782,2
"39","CCNP1428",0.856605351170568,0.845670995670996,0.851138173420782,0.851138173420782,2
"40","CCNP1431",0.856605351170568,0.844419642857143,0.848898663232902,0.845670995670996,3
"41","CCNP1440",0.856605351170568,0.844419642857143,0.848898663232902,0.845670995670996,3
"42","KAC64",0.856605351170568,0.844419642857143,0.848898663232902,0.845670995670996,3
"43","KAC66",0.856605351170568,0.844419642857143,0.848898663232902,0.845670995670996,3
"44","CENA386",0.85144012127337,0.172572178477691,0.471647203896853,0.182008368200837,9
"45","KAC68",0.845670995670996,0.844419642857143,0.845045319264069,0.845045319264069,2
"46","BM Mi/13",0.845102163461539,0.845102163461539,0.845102163461539,0.845102163461539,1
"47","UIC 10339",0.845022624434389,0.845022624434389,0.845022624434389,0.845022624434389,1
"48","CENA358",0.843116098403107,0.837763713080169,0.840439905741638,0.840439905741638,2
"49","CCNP 1401",0.842477140482128,0.757029876977153,0.794926736300458,0.794943820224719,5
"50","CCNP 1403",0.842477140482128,0.757029876977153,0.794926736300458,0.794943820224719,5
"51","TAU IL-40",0.841008089607965,0.153075328265377,0.607530293519969,0.828507462686567,3
"52","TAU IL-237 and IL-23",0.832013769363167,0.155121951219512,0.386415424448833,0.172110552763819,3
"53","CAVN 10",0.82639751552795,0.680369515011548,0.727421430986163,0.723894939141576,11
"54","TAU  IL-235",0.825892857142857,0.825892857142857,0.825892857142857,0.825892857142857,1
"55","strain   97",0.824610798277575,0.813331405436668,0.818971101857122,0.818971101857122,2
"56","UTEX 1834",0.820519761775853,0.752317613865377,0.786418687820615,0.786418687820615,2
"57","FL31-01",0.817880794701987,0.20823772372648,0.395395842406308,0.233425414364641,7
"58","NIVA Cya 43",0.814713457823568,0.814713457823568,0.814713457823568,0.814713457823568,1
"59","TAU IL-33",0.802099413399197,0.182386194584945,0.390087795253973,0.185777777777778,3
